id,title,description,availability,condition,price,link,image_link,brand
1,Art Corner - لوحة جدارية بخط عربي ذهبي على خلفية خضراء ترابية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,800.00 EGP,https://art-corner.org/index.html?p=1,https://art-corner.org/art-1.jpeg,Art Corner
2,Art Corner - صينية خشبية خضراء بنقشة زهور ملونة وخط عربي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=2,https://art-corner.org/art-2.jpeg,Art Corner
3,Art Corner - حامل بخور على شكل درويش متصوف ذهبي اللون,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=3,https://art-corner.org/art-3.jpeg,Art Corner
4,Art Corner - فرشاة شعر بنقش ورود ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,200.00 EGP,https://art-corner.org/index.html?p=4,https://art-corner.org/art-4.jpeg,Art Corner
5,Art Corner - علبة شاي خشبية أرجوانية برسمة إبريق وعبارة إنجليزية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=5,https://art-corner.org/art-5.jpeg,Art Corner
6,Art Corner - طقم علبة مناديل وسلة مهملات خشبية بنقش دائري بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1000.00 EGP,https://art-corner.org/index.html?p=6,https://art-corner.org/art-6.jpeg,Art Corner
7,Art Corner - علبة مناديل خشبية زرقاء بنقشة ذهبية زخرفية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=7,https://art-corner.org/art-7.jpeg,Art Corner
8,Art Corner - طقم تيشيرت وشنطة قماش بطبعة أسماك ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,550.00 EGP,https://art-corner.org/index.html?p=8,https://art-corner.org/art-8.jpeg,Art Corner
9,Art Corner - قطع خشبيه,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,125.00 EGP,https://art-corner.org/index.html?p=9,https://art-corner.org/art-9.jpeg,Art Corner
10,Art Corner - علبة مجوهرات خشبية زرقاء مكتوب عليها اسم,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,900.00 EGP,https://art-corner.org/index.html?p=10,https://art-corner.org/art-10.jpeg,Art Corner
11,Art Corner - تيشيرت أطفال أبيض برسمة بطة وعبارة عربية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=11,https://art-corner.org/art-11.jpeg,Art Corner
12,Art Corner - تيشيرت أطفال أبيض برسمة فتاة بشعر مجعد وفيونكة وردية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=12,https://art-corner.org/art-12.jpeg,Art Corner
13,Art Corner - تيشيرت أطفال أبيض برسمة راقصة باليه بألوان هادئة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=13,https://art-corner.org/art-13.jpeg,Art Corner
14,Art Corner - تيشيرت أطفال أبيض برسمة فتاة بشعر مجعد بخطوط رسم,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=14,https://art-corner.org/art-14.jpeg,Art Corner
15,Art Corner - طقم ٣ شمعدانات خشبية خضراء مضلعة بارتفاعات متدرجة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1200.00 EGP,https://art-corner.org/index.html?p=15,https://art-corner.org/art-15.jpeg,Art Corner
16,Art Corner - صينية خشبية زرقاء فاتحة بخط عربي ذهبي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=16,https://art-corner.org/art-16.jpeg,Art Corner
17,Art Corner - طقم تقديم أزرق صينية وعلبة مناديل وكوسترات بنقش ذهبي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1200.00 EGP,https://art-corner.org/index.html?p=17,https://art-corner.org/art-17.jpeg,Art Corner
18,Art Corner - علبة مجوهرات خشبية فيروزية بنقش شمسي ذهبي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=18,https://art-corner.org/art-18.jpeg,Art Corner
19,Art Corner - علبة مجوهرات,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,550.00 EGP,https://art-corner.org/index.html?p=19,https://art-corner.org/art-19.jpeg,Art Corner
20,Art Corner - صينية خشبية زرقاء فاتحة بخط عربي ذهبي في المنتصف,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=20,https://art-corner.org/art-20.jpeg,Art Corner
21,Art Corner - صينية خشبية خضراء بحواف منحوتة وأرجل صغيرة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,700.00 EGP,https://art-corner.org/index.html?p=21,https://art-corner.org/art-21.jpeg,Art Corner
22,Art Corner - معلق مفاتيح خشبي على شكل منزل برسمة ورود,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=22,https://art-corner.org/art-22.jpeg,Art Corner
23,Art Corner - علبة خشبية بغطاء وردي بتصميم قلب,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=23,https://art-corner.org/art-23.jpeg,Art Corner
24,Art Corner - ساعة حائط زرقاء فاتحة بأرقام رومانية ذهبية ونقشة دائرية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,750.00 EGP,https://art-corner.org/index.html?p=24,https://art-corner.org/art-24.jpeg,Art Corner
25,Art Corner - علبة مجوهرات خشبية أرجوانية بنقش ذهبي زخرفي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=25,https://art-corner.org/art-25.jpeg,Art Corner
26,Art Corner - صينية خشبية بيضاء مزخرفة بمقابض ذهبية منحوتة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,700.00 EGP,https://art-corner.org/index.html?p=26,https://art-corner.org/art-26.jpeg,Art Corner
27,Art Corner - علبة خشبية أرجوانية بغطاء برسمة زهرة ونحلة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=27,https://art-corner.org/art-27.jpeg,Art Corner
28,Art Corner - ساعة مكتب زرقاء مزخرفة بإطار منحوت وأرقام رومانية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1200.00 EGP,https://art-corner.org/index.html?p=28,https://art-corner.org/art-28.jpeg,Art Corner
29,Art Corner - قطعة خشبية بكلمة Home بخط مزخرف بلون أخضر ترابي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=29,https://art-corner.org/art-29.jpeg,Art Corner
30,Art Corner - علبة خشبية زرقاء لأدوات السفرة للمعالق والشوك والسكاكين بثلاث فتحات منحوتة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1000.00 EGP,https://art-corner.org/index.html?p=30,https://art-corner.org/art-30.jpeg,Art Corner
31,Art Corner - كلمة عربية خشبية منحوتة بلون أخضر وحواف ذهبية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=31,https://art-corner.org/art-31.jpeg,Art Corner
32,Art Corner - علبة خشبية خضراء بمقبض ذهبي كروي ونقش زهور بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=32,https://art-corner.org/art-32.jpeg,Art Corner
33,Art Corner - صينية خشبية خضراء برسمة إبريق شاي وخط عربي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=33,https://art-corner.org/art-33.jpeg,Art Corner
